id,name,category,description,area,indoor_outdoor,estimated_cost,website
edwards_gardens,Edwards Gardens,Garden,"Landscaped garden with walking paths, flowers, bridges, and access to Toronto Botanical Garden.",North York,outdoor,free,https://torontobotanicalgarden.ca
scarborough_bluffs,Scarborough Bluffs Park,Park,"Dramatic lakefront bluffs, beach access nearby, lookout points, and scenic walking areas.",Scarborough,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/411/index.html
guild_park,Guild Park and Gardens,Park,"Historic architectural fragments, gardens, lakefront views, and a quieter east-end walking destination.",Scarborough,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html
the_bentway,The Bentway,Public Space,"Public space under the Gardiner with art, seasonal events, skating in winter, and community programming.",Fort York,outdoor,free-$,https://thebentway.ca
toronto_public_lab,Fort York Library,Library,"Modern public library near the waterfront with study space, community rooms, and a practical indoor stop.",Fort York,indoor,free,https://www.torontopubliclibrary.ca/fortyork/
japanese_canadian_cultural_centre,Japanese Canadian Cultural Centre,Cultural Centre,"Cultural centre with exhibitions, performances, classes, film events, and Japanese Canadian community programming.",North York,indoor,$-$$,https://jccc.on.ca
meridian_arts_centre,Meridian Arts Centre,Performing Arts,"North York performing arts venue with theatre, music, comedy, and community cultural events.",North York,indoor,$$ ,https://www.tolive.com/Meridian-Arts-Centre
young_peoples_theatre,Young People's Theatre,Theatre,"Family-oriented theatre venue with stage productions and education programming near the Distillery District.",Old Town,indoor,$$ ,https://www.youngpeoplestheatre.org
distillery_district,Distillery Historic District,Neighbourhood,"Pedestrian historic district with galleries, food, design shops, brick architecture, and seasonal events.",Distillery District,indoor/outdoor,free-$$,https://www.thedistillerydistrict.com
corktown_common,Corktown Common,Park,"West Don Lands park with skyline views, lawns, playgrounds, marsh planting, and paths near the river.",West Don Lands,outdoor,free,https://www.toronto.ca/data/parks/prd/facilities/complex/2645/index.html
ontario_place_public_realm,Ontario Place Public Realm,Waterfront,"Waterfront paths and open public areas around Ontario Place with views, public art, and park connections.",Waterfront,outdoor,free,https://www.ontarioplace.com
